product_id,product_title,product_description,review_text,image_paths,label
prod_03,"Cetaphil Gentle Skin Cleanser 59ml (For Sensitive Skin, Non-Drying Facial Wash, And Paraben Free)","Our best-selling gentle skin cleanser is clinically proven to actively hydrate while cleansing the skin, and defends against the five signs of skin sensitivity including dryness, irritation, roughness, toughness, and a weakened skin barrier
Our best-seller and fan favorite - a mild, non-irritating and soap-free formula that soothes skin as it cleanses. This award-winning cleanser is clinically proven to hydrate while cleansing, and helps to strengthen the skin&#39;s moisture barrier. It can be specifically used for everyday cleansing, and defends against the five signs of skin sensitivity - dryness, irritation, roughness, toughness, and weakened skin barrier. Non-comodogenic, fragrance-free, pH balanced, and dermatologically tested.
Cetaphil is the most prescribed skincare brand by dermatologists.
- Gentle, soap-free, non-irritating cleanser actively hydrates while cleansing
- Defends against the five signs of skin sensitivity, including dryness, irritation, roughness, tightness and weakened skin barrier
- Non-foaming cleanser can be used with or without water
- Suitable for all skin types, including dry and sensitive skin
- Dermatologist tested and clinically proven to be gentle on sensitive skin
- Fragrance free, hypoallergenic and non-comedogenic, so it won&#39;t irritate skin or clog pores
INGREDIENTS:
Aqua, Glycerin, Cetearyl Alcohol, Panthenol, Niacinamide, Pantolactone, Xanthan Gum, Sodium Cocoyl Isethionate, Sodium Benzoate, Citric Acid
Directions for Use:
With water: 
Apply cleanser and gentle massage into skin. Rinse.
Without water:
Apply a liberal amount of cleanser and gently massage into skin.
About the Brand:
Cetaphil is a gentle skincare brand that has been recommended by dermatologists for over 70 years, and is today used by millions of people with sensitive skin from all around the world. It offers a complete range of cleansers, moisturizers and sun protection ideal for face and body, providing gentle yet effective skincare formula to strengthen and protect even the most sensitive skin.
MOST PRESCRIBED SKINCARE BRAND
Cetaphil is the original sensitive cleanser recommended by dermatologists for over 70 years
CLINICALLY TESTED FOR SENSITIVE SKIN
Our soap-free, skin nourishing products will treat your skin without irritation and is hypoallergenic
DEFENDS AGAINST 5 SIGNS OF SENSITIVITY
Clinically proven to soothe, hydrate, and nourish sensitive skin","Edited: I've been using this for 2 days, and I got a tiny bumb on my forehead ☹️☹️☹️ the packaging was good but maybe this product is not suitable for me😟",ph-11134103-7qukw-lj19spw8dwxy47.jpg,0
prod_06,Baseus H19 Wired Earphones 6D Stereo Bass Headphone In-Ear 3.5mm Headset with MIC,"Hey~ Welcome to Baseus Flagship Official Store!!! Please read the product description clearly,choose u need.Most items have ready stocks! Enjoy~
 ❥Package:
1*H19 3.5mm wired earphone
❥Specifications:
Brand: Baseus
Length:1.2m
❥Feature:
1. Inclined in the ear design, comfortable to wear all day.
2. Φ 14 mm moving coil + PU composite diaphragm, 6 d sound quality,
3. Thin wire control design, sensitive keys, durable
4. Built-in HD microphone, high restoration degree,
5. TPE pattern wire, soft and anti-winding
6. Support all devices with 3.5mm interface","quality is just fine, very accommodating seller, well packed & item shipped just in time..will order again soon!! thank you after a few weeks nasira na ung earphones 👎👎",ph-11134103-7rasl-m8s0f2hcvwvn23.webp.jpg,0
prod_08,Inplay S500 Wired RGB Gaming Headset With Mic Surround Sound Over Ear Headphone For PC Laptop,"Inplay Official Service Center Guranteed
Variation
Brand: Inplay
Model: S500
Driver Diameter: 50mm
Impedance: 32Ω@1KHZ
Sensitivity: 115-121db at 1KHZ 1mV
Frequency Response: 20hz-20khz
Light Effect: Colorful led light
Cable Length: 1.8m
Product Size:190*170*90mm
Product Weight: 228-248g
Warranty: 6 Months
Microphone Parameters
Sensitivity: -38-42dB@1KHz
Input mode: DC 3.5 plug
Signal to Noise Ratio: ≥60db
Frequency Response: 100Hz-8KHz",Best Feature: rbg lights | Product Quality: its a 6/10 its okay quality | Performance: decent low volume output and | decent headset good for its price,ph-11134103-7r98r-lwx14eb3fqld93.jpg,1
prod_18,POND'S Acne Clear Pore Conditioning Toner with Salicylic Acid and Tea Tree Oil for Anti Pimple 100ml,"Pond’s Acne Clear Pore Conditioning Toner cares for pores to give you clearer skin that is smooth and refined up close. It has Salicylic Acid and Tea Tree Oil that deeply cleans and unclogs pores, helping to reduce pimples for clearer skin. It also has Pore Tightening Essence that conditions pores for smooth and refined skin.",nagleak lang sya ng konti..siguro nagrotate yung takip nya but it's okay kasi konting konti lang naman yung nagleak..thank you seller pakisecure nalang po ng takip sa susunod na pag order ko 🙂,4cdc5af9271b0723fe49aae2fa72fa9e.jpg,1
prod_05,Dermorepubliq 7% Glycolic Acid (AHA) Skin Renewing Toner,"This skin-renewing toner is perfect for improving dull, tired skin, it contains 7% Glycolic Acid, which sloughs off the outermost layer of the dead skin cells, revealing brighter and smoother skin.
Superstar herbs such as Centella Asiatica, Witch Hazel, Papaya, Cucumber, and Aloe Vera Extracts work synergistically for effective acne control and skin-soothing action.
Formulated with sensitive skin in mind, we made sure that this toner does not contain:
• Alcohol
• Sulfates
• Silicones
• Parabens
• Polymers
• Formaldehyde
• Artificial Colorants
• Artificial Scents
Ingredients List
Aqua, 7% Glycolic Acid (AHA), Aloe Barbadensis (Aloe Vera) Leaf Juice, Propylene Glycol, Glycerin, Sodium Hydroxide, Cucumis Sativus (Cucumber) Extract, Centella Asiatica (Gotu Kola) Extract, Carica Papaya (Papaya) Fruit Extract, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Phenoxyethanol, Ethylhexylglycerin
pH 3.5 - 3.7
Dear valued customers,
We are excited to announce that Dermorepubliq is currently transitioning from using plastic shrink wraps to paper boxes as part of our commitment to reducing plastic pollution and protecting the environment. While this transition is underway, some of our products may still arrive with shrink wraps, but we are working hard to make paper boxes the new norm. We appreciate your support as we take this important step toward a more sustainable future.","Fragrance: Subtle chemical smell | Packaging: Straightforward and easy to use | Usage Experience: Haven't tried it yet | Haven't tried it yet, will change the rating once I see results but for now that would be it. Bought it due to the hype on tiktok so, we'll see if it's really effective or not. Hopefully, I'll see better results so I can have my money's worth.",ph-11134103-7r98z-lyayojcx65tq79.jpg,1
prod_11,ICON Webcam 2K/ 1080P/ 720P Full HD Video Call For PC Laptop With Microphone Home USB Video Webcam,"Name: ICON 1080X1920P Webcam 2K
8 million high-definition image sensor, effective resolution 1920*1080
Main control chip: Lingtong GP2247
Camera chip: F37
Camera physical pixels: 800W
Camera angle: 90 degrees
Microphone: built-in noise reduction microphone
Drive type: free drive (plug and play)
Interface type: USB 2.0 (built-in mark)
USB cable length: 140cm
Camera chip size: 1/4'' CMOS
---------------------------------------------------------------------------------------------------------------------------------------------------------
Name: ICON webcam 720P
5 million high-definition image sensor, effective resolution 1280*720
Main control chip: Lingtong GP2247
Camera chip: F37
Camera physical pixels: 500W
Camera angle: 90 degrees
Microphone: built-in noise reduction microphone
Drive type: free drive (plug and play)
Interface type: USB 2.0 (built-in mark)
USB cable length: 140cm
Camera chip size: 1/4'' CMOS
---------------------------------------------------------------------------------------------------------------------------------------------------------
Name: ICON webcam 1080P
5 million high-definition image sensor, effective resolution 1920X1080
Main control chip: Lingtong GP2247
Camera chip: F37
Camera physical pixels: 800W
Camera angle: 90 degrees
Microphone: built-in noise reduction microphone
Drive type: free drive (plug and play)
Interface type: USB 2.0 (built-in mark)
USB cable length: 140cm
Camera chip size: 1/4'' CMOS
warranty service
Replacement within 15 days: Within 15 days after the receipt of the product, if there is a product quality problem that is not artificially damaged, you can contact customer service and we will provide replacement services.
1 year warranty: From the date of receipt of the product, if there is a hardware failure problem under normal use, non-artificial damage, any natural disasters. Free warranty for one year.
Lifetime technical maintenance: After purchasing the product, you can enjoy free lifetime technical consulting services provided by engineers
About shipping: If there is a quality problem within 1 month of purchasing the product, the shipping will be borne by each other.
After one month to one year, the return shipping fee shall be borne by the customer.",Product Quality: average | Value For Money: cheaper | Best Feature: adjustable lens | Medyo d lng malinaw tulad ng review ng iba 2k ang order ko so expected mas malinaw cya sa 1080P..but sadly kahit 2k na kasing linaw lang ng pang 1080 P.nag upgrade ako ng order gusto ko sana mas malinaw sa dati kong gamit na 1080 but still no sifference at all,ph-11134103-81ztf-mgds882xyeq0b3.jpg;ph-11134103-81ztg-mgds882q19fwd2.jpg;ph-11134103-81ztj-mgds882q2o0c29.jpg,2
prod_13,High quality rubber shoes Black school shoes for boy and men's,"No in box
Welcome to the shop, our quality guarantee is cheap
EU  size                   36     37       38    39      40    41    42    43    44    45 
inner length (mm) 225  230   235   240   245   250  255  260  265  270
feet length (mm)  220  225  230  235   240   245    250   255   260  265
       width              8-8.5 /8.5/ 9/ 9-9.5 /9.5-10/10 /10-10.5/10.5/10.5-11/11
 NOTE: If your feet are wide and fat, please choose to place an order in one size larger
This shoe is made of rubber material and may be squeezed or deformed during transportation, but it does not affect wearing. You can soak the shoes in hot water for 5 minutes to restore them to their original shape.
happy shopping for you
✅EARN LOTS OF SHOPEE COINS
✅CASH ON DELIVERY
✅ON HAND AND READY TO SHIP
✅PAY TODAY SHIP TOMORROW
NOTE: WRONG PLACEMENT OF SHIPPING FEE WILL NOT BE PROCESS
DELIVERY PERIOD:
 1-2 days Metro Manila
 3-4 days Provincial
PLEASE READ CAREFULLY BEFORE PLACING AN ORDER/S ️
 ✔️ALL ITEMS ARE AVAILABLE UNLESS MARKED AS ""SOLD OUT""
✔CHOOSE THE CORRECT  IF THE ITEMS HAS DIFFERENT COLORS/PRINTS SO WE CAN AVOID MISTAKES
✔WE ACCEPT RETURNS IF THE ITEM IS NOT YET WORN OR USED. BUYER WILL SHOULDER THE RETURN SHIPPING COST
LIKE & FOLLOW US FOR UPDATES! 
HAPPY SHOPPING!","Colour: Black | Material Quality: Durable | Appearance: Looks good! | 4 stars lang kasi 29 size ng anak ko kaya 30 inorder ko. kaso dumating 30-31, kaya biglang laki naman hindi nag kakasya. sana ganun nalang ang sizing option nila para mas may idea ang customer.",ph-11134103-7r98o-ll1lbksfrktj6c.jpg;ph-11134103-7r98o-ll1lbksfszdz32.jpg;ph-11134103-7r98o-ll1lc9rf6m2od2.jpg;ph-11134103-7r98o-ll1lc9rf80n415.jpg;ph-11134103-7r98o-ll1lcq5b7dwn8c.jpg,2
prod_18,POND'S Acne Clear Pore Conditioning Toner with Salicylic Acid and Tea Tree Oil for Anti Pimple 100ml,"Pond’s Acne Clear Pore Conditioning Toner cares for pores to give you clearer skin that is smooth and refined up close. It has Salicylic Acid and Tea Tree Oil that deeply cleans and unclogs pores, helping to reduce pimples for clearer skin. It also has Pore Tightening Essence that conditions pores for smooth and refined skin.",Watson and Shopee comparison Watson is lighter in color and print/font while Shopee is darker on color and print/font Smell is similar Size is similar except for the fifth bottle. Nag leak kahit naka tape. Parang may halong water nung inaapply ko sya sa face ko 🤦🏻‍♀️😔😬,33c599051269d8e941cb6501ca6887d4.jpg;850f8a93d75c1105a0821c278c7def65.jpg;3743350014dd40c642341cfeaabd1bc1.jpg,1
prod_03,"Cetaphil Gentle Skin Cleanser 59ml (For Sensitive Skin, Non-Drying Facial Wash, And Paraben Free)","Our best-selling gentle skin cleanser is clinically proven to actively hydrate while cleansing the skin, and defends against the five signs of skin sensitivity including dryness, irritation, roughness, toughness, and a weakened skin barrier
Our best-seller and fan favorite - a mild, non-irritating and soap-free formula that soothes skin as it cleanses. This award-winning cleanser is clinically proven to hydrate while cleansing, and helps to strengthen the skin&#39;s moisture barrier. It can be specifically used for everyday cleansing, and defends against the five signs of skin sensitivity - dryness, irritation, roughness, toughness, and weakened skin barrier. Non-comodogenic, fragrance-free, pH balanced, and dermatologically tested.
Cetaphil is the most prescribed skincare brand by dermatologists.
- Gentle, soap-free, non-irritating cleanser actively hydrates while cleansing
- Defends against the five signs of skin sensitivity, including dryness, irritation, roughness, tightness and weakened skin barrier
- Non-foaming cleanser can be used with or without water
- Suitable for all skin types, including dry and sensitive skin
- Dermatologist tested and clinically proven to be gentle on sensitive skin
- Fragrance free, hypoallergenic and non-comedogenic, so it won&#39;t irritate skin or clog pores
INGREDIENTS:
Aqua, Glycerin, Cetearyl Alcohol, Panthenol, Niacinamide, Pantolactone, Xanthan Gum, Sodium Cocoyl Isethionate, Sodium Benzoate, Citric Acid
Directions for Use:
With water: 
Apply cleanser and gentle massage into skin. Rinse.
Without water:
Apply a liberal amount of cleanser and gently massage into skin.
About the Brand:
Cetaphil is a gentle skincare brand that has been recommended by dermatologists for over 70 years, and is today used by millions of people with sensitive skin from all around the world. It offers a complete range of cleansers, moisturizers and sun protection ideal for face and body, providing gentle yet effective skincare formula to strengthen and protect even the most sensitive skin.
MOST PRESCRIBED SKINCARE BRAND
Cetaphil is the original sensitive cleanser recommended by dermatologists for over 70 years
CLINICALLY TESTED FOR SENSITIVE SKIN
Our soap-free, skin nourishing products will treat your skin without irritation and is hypoallergenic
DEFENDS AGAINST 5 SIGNS OF SENSITIVITY
Clinically proven to soothe, hydrate, and nourish sensitive skin",Benefits: olol | Usage Experience: napaka angas | Fragrance: sheesh,ph-11134103-7qul6-lhorhxsbjfux2e.jpg,0
prod_16,URBAN PIPE Fashionable Cargo Pants For Men 6 Pocket Drawstring Pant High Quality Bottoms 42917,"Discover the perfect blend of style and comfort with the URBAN PIPE Cargo Pants for Men. Designed for a modern urban look, these oversized pants feature multiple pockets and a versatile wide-leg design.
Functional Design: Equipped with 6 pockets for ample storage.
Stylish Fit: Oversized hip-hop style with wide-leg straight cut.
Adjustable Comfort: Drawstring waist for a customizable fit.
Add these trendy cargo pants to your wardrobe and elevate your casual outfits effortlessly!","The fit was perfect, pero ang pangit ng mga tahi",ph-11134103-7ras9-m7qf7pc64j8pe0.jpg;ph-11134103-7rask-m7qf7pda2wrt71.jpg;ph-11134103-7rasl-m7qf7pd03bjd5e.jpg,1
